country,nobel_rate,chocolate,chocmrkt,GDP,GDP_cap,totalpop,literate,lifeexp,patentR,patentNR,articles,internet,mobile,phone,fh_cl,fh_fotpsc5,fh_pr,ti_cpi,undp_gii,undp_hdi,wbgi_rle,wbgi_vae,wef_gend
Australia,5.451,4.5,2513.7,7.82509E+11,35052.51172,22323900,99.9,81.84634399,2383,23143,18923.30078,79.5,108.3353577,46.77132416,1,21,1,8.844156,0.136,0.929,1.779098053,1.432063665,0.7291
Austria,24.332,10.2,962.2,3.04257E+11,36119.40625,8423635,99.9,81.03170776,2154,276,4832.200195,79.80000305,154.7832336,40.26895523,1,21,1,7.786903,0.131,0.885,1.810609388,1.412433378,0.7165
Belgium,8.622,4.4,1006,3.64801E+11,33020.4375,11047744,99.9,80.48536682,636,127,7217.600098,78,120.4901123,43.08627319,1,11,1,7.487431,0.114,0.886,1.448954042,1.399686889,0.7531
Brazil,0.05,2.9,6214.4,2.02134E+12,10264.00586,196935134,90.5,73.43521881,2705,19981,12306.2998,45,119.1718979,21.87883949,2,44,2,3.77411,0.449,0.718,0.013264243,0.501200934,0.6679
Canada,6.122,3.9,2647.1,1.23241E+12,35738.70313,34483975,99.8,80.929245,4754,30357,29016.90039,83,79.73085785,52.98757553,1,19,1,8.672457,0.14,0.908,1.755371715,1.413250736,0.7407
China,0.06,0.7,1863.9,9.97061E+12,7417.887695,1344130000,95.4,73.48563385,415829,110583,74019.20313,38.29999924,73.18776703,21.15778732,6,85,7,3.635573,0.209,0.687,-0.459091076,-1.643610163,0.6866
Denmark,25.255,8.5,592.5,1.8161E+11,32601.66016,5570572,99.9,79.80000305,1574,197,5306.100098,90,116.7453461,45.12815857,1,12,1,9.39208,0.06,0.895,1.916352406,1.608258674,0.7778
Finland,7.6,7.3,600.6,1.7259E+11,32030.70313,5388272,99.9,80.47073364,1650,124,4949.100098,89.37000275,166.0238037,20.05656624,1,10,1,9.403927,0.075,0.882,1.958992585,1.539049177,0.8383
France,8.99,6.3,5623.5,1.95874E+12,29963.22266,65371613,100,81.66828918,14655,2099,31748.30078,79.58000183,94.75667572,63.4335556,1,24,1,7.005064,0.106,0.884,1.495085888,1.195755617,0.7018
Germany,12.668,11.6,8067.9,2.82799E+12,34572.9375,81797673,99.9,80.74146271,46986,12458,45002.80078,83,132.2987823,63.045784,1,17,1,8.046144,0.085,0.905,1.616863107,1.308421131,0.759
Greece,1.857,2.5,429.8,2.52085E+11,22308.49805,11299976,97.3,80.74390411,728,16,4881,53,106.4789429,50.43844986,2,30,2,3.388967,0.162,0.861,0.574097118,0.819271807,0.6916
Ireland,12.706,8.8,798,1.67092E+11,36508.87891,4576748,99.9,80.49512482,494,67,2798.5,76.81999969,108.4084549,45.21998596,1,16,1,7.536039,0.203,0.908,1.7729706,1.324409106,0.783
Italy,3.265,3.7,3471.6,1.64274E+12,27052.73828,60723569,99,82.0878067,8794,927,26755.30078,56.79999924,157.9915466,36.36367035,1,33,1,3.906913,0.124,0.874,0.410313294,0.942168968,0.6796
Japan,1.492,1.8,4302.5,3.9322E+12,30764.23633,127817277,99.9,82.59121704,287580,55030,49627,79.05451965,104.9517975,51.12247849,2,22,1,8.0409,0.123,0.901,1.274403652,1.024677911,0.6514
Netherlands,11.356,4.5,1023.7,6.19616E+11,37118.13672,16693074,96.5,81.20487976,2585,310,14866,92.30000305,118.989563,42.80293274,1,12,1,8.894497,0.052,0.91,1.824384088,1.5205633,0.747
Norway,25.492,9.4,1017.5,2.31474E+11,46733.35938,4953088,99.9,81.29512024,1122,654,4440,93.97000122,115.6169052,31.04591179,1,10,1,8.989854,0.075,0.943,1.891580864,1.630310826,0.8404
Poland,3.124,3.6,1906.5,6.92049E+11,17959.36523,38534157,99.7,76.74633789,3879,244,7355.399902,64.87999725,130.9702301,17.89239502,1,25,1,5.482418,0.164,0.813,0.73292539,1.035763479,0.7038
Portugal,1.855,2,337.7,2.28075E+11,21604.18555,10556999,95.4,80.72195435,571,75,4156.5,57.75999832,115.3880615,42.49489594,1,17,1,6.097609,0.14,0.809,1.013572072,1.118676283,0.7144
Spain,1.701,3.6,1360.6,1.24451E+12,26952.3457,46174601,97.8,82.326828,3430,196,21542.59961,67.59999847,113.2229156,42.76528168,1,24,1,6.2296,0.117,0.878,1.203782373,1.104436221,0.758
Sweden,31.855,6.4,989.8,3.31894E+11,35124.01953,9449213,99.9,81.80243683,2004,337,9477.799805,94,121.3278122,47.47719574,1,10,1,9.298488,0.049,0.904,1.946630904,1.591839133,0.8044
Switzerland,31.544,11.9,1671.7,3.11627E+11,39384.6875,7912398,99.9,82.69512177,1597,446,9469.200195,85.19999695,130.9145966,59.84090424,1,12,1,8.801674,0.067,0.903,1.761822232,1.631236224,0.7627
United Kingdom,18.875,9.7,9105.3,2.06334E+12,32880.58203,62752472,100,80.75366211,15343,6916,45648.80078,86.83999634,130.7519379,53.27357864,1,21,1,7.775084,0.209,0.863,1.671369382,1.271083373,0.7462
United States,10.77,5.3,16368.8,1.32259E+13,42446.78125,311587816,99.9,78.64146423,247750,255832,208600.7969,77.86302185,95.27529144,45.84212875,1,18,1,7.135683,0.299,0.91,1.594332999,1.134073531,0.7412
