"date","close.spy","close.tlt","fed.rate"
2003-01-02,91.07,86.28,NA
2003-01-03,91.35,86.48,NA
2003-01-06,92.96,86.25,NA
2003-01-07,92.73,86.56,NA
2003-01-08,91.39,86.99,1.2
2003-01-09,92.81,85.32,NA
2003-01-10,93.06,85.54,NA
2003-01-13,93.03,85.68,NA
2003-01-14,93.33,85.98,NA
2003-01-15,92.4,86.4,1.26
2003-01-16,92.02,86.52,NA
2003-01-17,90.66,86.95,NA
2003-01-21,89.25,87.45,NA
2003-01-22,88.17,87.88,1.23
2003-01-23,88.74,87.45,NA
2003-01-24,86.38,87.97,NA
2003-01-27,85.2,87.65,NA
2003-01-28,85.83,87.65,NA
2003-01-29,86.48,87.17,1.24
2003-01-30,84.43,87.82,NA
2003-01-31,86.06,88.06,NA
2003-02-03,86.23,87.88,NA
2003-02-04,85.38,88.27,NA
2003-02-05,84.85,87.51,1.29
2003-02-06,84.45,88.22,NA
2003-02-07,83.42,88.42,NA
2003-02-10,84.01,87.8,NA
2003-02-11,83.43,87.78,NA
2003-02-12,82.1,88.09,1.22
2003-02-13,82.35,88.57,NA
2003-02-14,84.15,87.81,NA
2003-02-18,85.63,87.92,NA
2003-02-19,85.18,88.52,1.3
2003-02-20,84.33,88.82,NA
2003-02-21,85.21,88.3,NA
2003-02-24,83.8,88.72,NA
2003-02-25,84.47,89.13,NA
2003-02-26,83.24,89.75,1.24
2003-02-27,84.34,89.9,NA
2003-02-28,84.9,90.47,NA
2003-03-03,84.09,90.24,NA
2003-03-04,82.75,90.3,NA
2003-03-05,83.45,90.6,1.29
2003-03-06,82.75,90.25,NA
2003-03-07,83.32,90.56,NA
2003-03-10,81.32,91.03,NA
2003-03-11,80.52,90.87,NA
2003-03-12,81.06,91.2,1.21
2003-03-13,83.86,89.52,NA
2003-03-14,84.13,89.96,NA
2003-03-17,86.78,88.88,NA
2003-03-18,87.29,88.04,NA
2003-03-19,87.96,87.39,1.27
2003-03-20,88.15,87.25,NA
2003-03-21,89.67,86.05,NA
2003-03-24,86.69,87.41,NA
2003-03-25,87.52,87.31,NA
2003-03-26,87.08,87.49,1.22
2003-03-27,87.15,87.55,NA
2003-03-28,86.71,87.75,NA
2003-03-31,84.74,88.9,NA
2003-04-01,86.04,88.27,NA
2003-04-02,88.05,87.35,1.28
2003-04-03,87.7,87.3,NA
2003-04-04,88.25,87.05,NA
2003-04-07,88.05,86.85,NA
2003-04-08,88.19,87.55,NA
2003-04-09,87.03,87.81,1.23
2003-04-10,87.51,87.4,NA
2003-04-11,87.15,87.26,NA
2003-04-14,88.95,87.02,NA
2003-04-15,89.78,87.49,NA
2003-04-16,88.25,87.85,1.27
2003-04-17,89.56,87.99,NA
2003-04-21,89.65,87.8,NA
2003-04-22,91.34,87.75,NA
2003-04-23,92.18,87.93,1.26
2003-04-24,91.36,88.72,NA
2003-04-25,90.23,88.92,NA
2003-04-28,91.79,88.78,NA
2003-04-29,92.03,88.63,NA
2003-04-30,91.91,89.45,1.28
2003-05-01,91.9,89.02,NA
2003-05-02,93.21,88.32,NA
2003-05-05,93.03,88.79,NA
2003-05-06,93.91,89.23,NA
2003-05-07,93.39,90.27,1.26
2003-05-08,92.45,90.49,NA
2003-05-09,93.73,90.58,NA
2003-05-12,94.88,91.15,NA
2003-05-13,94.71,91.35,NA
2003-05-14,94.51,92.75,1.25
2003-05-15,95.11,93.04,NA
2003-05-16,94.87,93.72,NA
2003-05-19,92.65,93.4,NA
2003-05-20,92.46,94.78,NA
2003-05-21,92.65,94.77,1.27
2003-05-22,93.57,95.61,NA
2003-05-23,93.76,95.85,NA
2003-05-27,95.4,94.12,NA
2003-05-28,95.67,93.96,1.24
2003-05-29,95.42,94.78,NA
2003-05-30,96.95,94.6,NA
2003-06-02,97.35,93.51,NA
2003-06-03,97.75,94.26,NA
2003-06-04,99.16,94.54,1.26
2003-06-05,99.65,93.8,NA
2003-06-06,99.26,94.14,NA
2003-06-09,98.25,94.77,NA
2003-06-10,99.25,95.9,NA
2003-06-11,100.3,95.78,1.24
2003-06-12,100.61,96.53,NA
2003-06-13,99.56,97.18,NA
2003-06-16,101.66,96.26,NA
2003-06-17,101.66,95.5,NA
2003-06-18,101.57,94.28,1.25
2003-06-19,100.02,94.1,NA
2003-06-20,99.44,93.75,NA
2003-06-23,98.42,94.31,NA
2003-06-24,98.52,95.18,NA
2003-06-25,97.53,93.66,1.21
2003-06-26,98.8,92.4,NA
2003-06-27,97.66,92.07,NA
2003-06-30,97.63,92.5,NA
2003-07-01,98.53,91.69,NA
2003-07-02,99.77,91.92,1.13
2003-07-03,98.62,90.6,NA
2003-07-07,100.7,90.02,NA
2003-07-08,101.15,90.1,NA
2003-07-09,100.58,90.39,0.96
2003-07-10,99.3,90.36,NA
2003-07-11,100.24,90.79,NA
